NTFC_DE,index,SNHO_NO,JSH_NO,BUS_NO,PK,RN,SIG_CD_PK,RDS_MAN_NO_PK,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,RDS_DPN_SE,SPD_LMT,SOIL_INCLN,SOIL_INCL_,CAR_PER_RD,DNGR_RD,dan_lvl
20100603,19914,0,0,0,11200577,용답23길,11200,577,4109467,10,69,4,1,30,0-2%,1,0.630393862,0,0
20100603,19919,0,0,0,112001314,살곶이2나길,11200,1314,4109300,2,16,4,1,30,0-2%,1,0.126078772,0,0.6
20100701,19924,1,0,0,112001315,성수이로8길,11200,1315,4109356,5,423,4,0,30,30-60%,5,0.315196931,0,0
20100603,19954,0,0,0,112001571,청계천로12길,11200,1571,4109528,8,28,4,1,30,2-7%,2,0.504315089,0,0
20100603,20010,0,0,0,112001320,용답29길,11200,1320,4109478,8,46,4,1,30,2-7%,2,0.504315089,0,0
20100603,20092,4,4,0,112001321,청계천로10가길,11200,1321,4109523,10,532,4,0,30,2-7%,2,0.630393862,0,0.4
20100603,20094,0,0,0,112001324,고산자로24길,11200,1324,4109012,8,59,4,1,30,7-15%,3,0.504315089,0,0
20100422,20098,1,0,1,112001823,마장로,11200,1823,3005009,3,3600,3,1,50,0-2%,1,0.189118158,0,0
20110127,20119,8,1,1,112002705,금호로,11200,2705,3103001,15,226.196,3,1,50,0-2%,1,0.945590792,0,0.8
20100603,20140,0,1,0,11200714,동호로2가길,11200,714,4109124,4,92,4,0,30,0-2%,1,0.252157545,0,0.8
20100603,20142,0,1,0,11200716,독서당로62가길,11200,716,4109108,6,33,4,1,30,0-2%,1,0.378236317,0,0
20100603,20144,0,1,0,11200717,사근동11가길,11200,717,4109283,2,33,4,1,30,0-2%,1,0.126078772,0,0.6
20100603,20148,0,0,0,11200177,청계천로10다길,11200,177,4109526,5,49,4,1,30,2-7%,2,0.315196931,0,0
20100603,20150,5,2,1,11200178,매봉길,11200,178,4109229,13,91,4,1,30,15-30%,4,0.81951202,0,1
20100603,20155,0,4,3,11200682,독서당로59나길,11200,682,4109103,3,213,4,0,30,7-15%,3,0.189118158,0,0.8
20100701,20157,0,0,0,112002411,둘레3가길,11200,2411,4109139,3,94,4,0,30,2-7%,2,0.189118158,0,0.4
20100603,20158,0,0,0,112002412,뚝섬로7길,11200,2412,4109163,2.8,151,4,0,30,2-7%,2,0.176510281,0,0
20100603,20160,2,0,0,112002413,뚝섬로17길,11200,2413,4109154,8.8,373,4,0,30,2-7%,2,0.554746598,0,0.2
20100701,20163,0,0,1,112002416,성수이로7가길,11200,2416,4109354,8,245,4,0,30,2-7%,2,0.504315089,0,0
20100701,20165,5,0,1,112002417,성수일로4길,11200,2417,4109365,8,533,4,0,30,기타,0,0.504315089,0,0
20100603,20167,6,0,1,112002418,뚝섬로5길,11200,2418,4109162,12,407,4,0,30,0-2%,1,0.756472634,0,0
20100603,20221,0,0,0,11200183,사근동9가길,11200,183,4109295,3,15,4,1,30,2-7%,2,0.189118158,0,0.8
20100603,20223,0,0,0,11200186,성덕정3가길,11200,186,4109334,2,33,4,1,30,0-2%,1,0.126078772,0,0.2
20100701,20225,0,0,0,1120060,상원길,11200,60,4109317,10,113,4,1,30,2-7%,2,0.630393862,0,0
20100603,20228,0,0,0,112001309,용답중앙11길,11200,1309,4109489,3,61,4,1,30,0-2%,1,0.189118158,0,0
20100603,20230,0,0,0,112001808,행당로11길,11200,1808,4109535,6,49,4,1,30,15-30%,4,0.378236317,0,0.6
20100701,20231,0,0,0,112002313,둘레19길,11200,2313,4109134,3,37,4,2,30,2-7%,2,0.189118158,0,0.2
20100603,20234,2,0,0,112001809,왕십리로22길,11200,1809,4109437,7,230,4,0,30,2-7%,2,0.441275703,0,0.6
20100603,20236,0,0,0,112002436,무학봉21길,11200,2436,4109269,3.5,134,4,0,30,2-7%,2,0.220637852,0,0
20100603,20237,0,0,0,112002419,광나루로4다길,11200,2419,4109034,3.6,100,4,0,30,0-2%,1,0.22694179,0,0
20100603,20239,0,0,0,112002035,살곶이2가길,11200,2035,4109298,1,55,4,1,30,15-30%,4,0.063039386,0,0.6
20100701,20240,0,0,2,112002036,둘레23길,11200,2036,4109138,3,78,4,1,30,0-2%,1,0.189118158,0,0.2
20100603,20243,0,0,0,112002038,용답길,11200,2038,4109487,8,26,4,1,30,0-2%,1,0.504315089,0,0
20100701,20245,0,0,0,112002039,둘레5길,11200,2039,4109142,10,15,4,1,30,2-7%,2,0.630393862,0,0.4
20100603,20247,0,0,0,112002041,무수막18길,11200,2041,4109234,6,19,4,1,30,2-7%,2,0.378236317,0,0.6
20100422,20249,0,0,2,112002042,독서당로,11200,2042,3005014,3,4400,3,1,50,7-15%,3,0.189118158,20304,0.2
20100603,20275,8,0,3,112002358,마장로19길,11200,2358,4109547,10,341,4,0,30,15-30%,4,0.630393862,0,0
20100603,20294,0,0,0,112002314,뚝섬로3길,11200,2314,4109159,12,28,4,1,30,2-7%,2,0.756472634,0,0
20100603,20296,0,0,0,112002067,왕십리로21라길,11200,2067,4109435,4,24,4,1,30,2-7%,2,0.252157545,0,0.4
20100603,20298,0,0,0,112001311,무학로8길,11200,1311,4109253,6,11,4,1,30,2-7%,2,0.378236317,0,0
