자치구,동,0-12세(어린이),65-100이상(노인),장애인수,동별보행취약계층인구수,총인구,보행취약계층비율
서초구,방배3동,1750,3629,555,5687.333333,20529,0.277038985
서초구,방배4동,2371,3442,593,6142.444444,23633,0.259909637
서초구,양재1동,5418,6801,1955,13305.11111,43885,0.303181295
서초구,양재2동,1866,2881,673,5120.888889,22249,0.230162654
서초구,내곡동,2469,3214,854,6157.444444,17921,0.343588217
강남구,신사동,1370,2948,403,4541.888889,16384,0.277214898
강남구,논현1동,917,2937,574,4172.888889,22712,0.183730578
강남구,논현2동,1451,3139,513,4875,21628,0.225402256
강남구,삼성1동,1159,2088,289,3407.555556,13183,0.25848104
강남구,삼성2동,3402,3361,544,7065.222222,29806,0.237040268
강남구,대치1동,3504,2377,278,6035.444444,24556,0.245782882
강남구,대치4동,1216,2063,398,3500.111111,20087,0.174247579
강남구,역삼1동,1351,3598,765,5374,35507,0.151350438
강남구,역삼2동,4580,3550,638,8484.444444,36399,0.233095537
강남구,도곡1동,2506,2899,390,5621.666667,21911,0.256568238
강남구,도곡2동,4280,4757,503,9316.444444,33777,0.275822141
강남구,개포1동,543,1570,221,2235.777778,6538,0.341966623
강남구,개포4동,2322,3108,591,5758.333333,23705,0.242916403
강남구,일원본동,3242,2938,718,6578.888889,23665,0.278000798
강남구,일원1동,1029,3186,1089,4820,15486,0.31124887
강남구,일원2동,1821,3279,1164,5746.666667,17928,0.320541425
강남구,수서동,740,4483,2150,6417.444444,15049,0.426436603
강남구,세곡동,6001,6377,1967,13470.77778,43973,0.306342023
강남구,압구정동,3017,5074,486,8361,26904,0.310771632
강남구,청담동,2812,3771,510,6866.333333,26738,0.256800558
강남구,대치2동,3491,4740,585,8556,36753,0.232797323
강남구,개포2동,2309,3197,423,5741,22107,0.2596915
송파구,풍납1동,909,2733,670,4014.222222,13524,0.29682211
송파구,풍납2동,2521,3746,828,6727,25358,0.265281174
송파구,거여1동,885,2320,625,3552.222222,12769,0.278191105
송파구,거여2동,1695,3447,1011,5703.666667,19045,0.299483679
송파구,마천1동,1391,4122,1229,6195.777778,19334,0.320460214
송파구,마천2동,1217,4014,1229,5913.777778,19215,0.307768815
송파구,방이1동,1481,2145,438,3869.333333,16004,0.24177289
송파구,방이2동,1458,3428,770,5313.777778,26116,0.203468287
송파구,오륜동,2101,2679,293,4942.777778,18341,0.269493363
송파구,오금동,3573,6149,1427,10514.77778,39052,0.269250686
송파구,송파1동,1547,3393,695,5326.111111,24506,0.217339064
송파구,송파2동,2069,2798,523,5157.555556,19772,0.260851485
송파구,석촌동,2037,4430,1019,7033.111111,32095,0.219134168
송파구,삼전동,2087,3953,935,6559.444444,31059,0.211193034
송파구,가락본동,2062,3658,767,6146.111111,26836,0.229024859
